"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","https://t.co/bxxT6sKQZg",FALSE,0,NA,2018-03-01 02:52:38,FALSE,NA,"969042700174536704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","esteban_lopez_h",0,FALSE,FALSE,NA,NA
"2","NIH agency's priority: Developing universal flu vaccine: Feb. 28 (UPI) -- The Nationals Institutes of Health is wor… https://t.co/eHdAzTQsSw",FALSE,0,NA,2018-03-01 02:51:56,TRUE,NA,"969042524718252033",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","NewsUpdate24Int",0,FALSE,FALSE,NA,NA
"3","https://t.co/IGAs0g7bAj",FALSE,0,"influenza_sstk",2018-03-01 02:45:39,FALSE,"969038805192794112","969040943469887488","967795775429271553","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","influenza_sstk",0,FALSE,FALSE,NA,NA
"4","""It could be used essentially as a weather forecast for the flu."" How #bigdata and #socialmedia data can help track… https://t.co/hUQI2vwZ09",FALSE,0,NA,2018-03-01 02:45:00,TRUE,NA,"969040779850104838",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","HCA_News",0,FALSE,FALSE,NA,NA
"5","@BPS_Customs Only influenza B could keep me from making it <ed><U+00A0><U+00BE><ed><U+00B4><U+0092>",FALSE,1,"BPS_Customs",2018-03-01 02:43:26,FALSE,"968990985454833665","969040384792948736","4180705515","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix 2</a>","Ensourceddotnet",0,FALSE,FALSE,NA,NA
"6","Infección en el ojo, luego influenza y ahora el brazo lastimado. Ya neta, ¿Quién tiene mi muñeco vudú?",FALSE,0,NA,2018-03-01 02:41:16,FALSE,NA,"969039840489721856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ArantxaAba",0,FALSE,FALSE,NA,NA
"7","I have influenza A -AND- B <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> and I have cramps because I am about to start my period. Are you there God, its me Margaret.",FALSE,0,NA,2018-03-01 02:38:38,FALSE,NA,"969039176086769664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KTandChrisonyt",0,FALSE,FALSE,NA,NA
"8","<U+306F><U+3044><U+304B><U+308F><U+3044><U+3044> https://t.co/NdedPHZTMR",FALSE,0,"influenza_sstk",2018-03-01 02:37:09,FALSE,"969036109127626752","969038805192794112","967795775429271553","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","influenza_sstk",0,FALSE,FALSE,NA,NA
"9","Paper The Application of #NHEJ-#CRISPR/Cas9 and Cre-Lox System in the Generation of Bivalent #DuckEnteritisVirus… https://t.co/Lj3IA7asUm",FALSE,2,NA,2018-03-01 02:33:43,TRUE,NA,"969037939547127808",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","VirusesMDPI",0,FALSE,FALSE,NA,NA
"10","Influenza B identified on W2 Menno Hospital. Wash hands thoroughly. Use hand sanitizer. Limit visits to your loved… https://t.co/C5sGNtBCV2",FALSE,0,NA,2018-03-01 02:31:53,TRUE,NA,"969037479973085184",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MennoPlaceAlert",0,FALSE,FALSE,NA,NA
"11","The Roboenza is a portmanteau of ""robot"" and ""Influenza"".",FALSE,0,NA,2018-03-01 02:30:17,FALSE,NA,"969037076921425920",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","MMKB_bot",0,FALSE,FALSE,NA,NA
"12","@CHEOhospital, eastern Ontario’s paediatric centre, is also facing unprecedented occupancy levels and challenges to… https://t.co/0mvLnXqR27",FALSE,0,"CHEOhospital",2018-03-01 02:29:18,TRUE,NA,"969036827771355138","64698768","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AnthonyDaleOHA",0,FALSE,FALSE,NA,NA
"13","<U+30A4><U+30F3><U+30D5><U+30EB><U+30A8><U+30F3><U+30B6> https://t.co/9doR6Fq0Za",FALSE,0,NA,2018-03-01 02:28:10,FALSE,NA,"969036543129079808",NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","seritaWEBtan",0,FALSE,FALSE,NA,NA
"14","<U+307A><U+3042><U+3089><U+3044><U+3076><U+3045> https://t.co/NQZYSIUBxM",FALSE,0,NA,2018-03-01 02:26:26,FALSE,NA,"969036109127626752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","influenza_sstk",0,FALSE,FALSE,NA,NA
