screen_name,user_id,created_at,status_id,text,retweet_count,favorite_count,is_quote_status,quote_status_id,is_retweet,retweet_status_id,in_reply_to_status_status_id,in_reply_to_status_user_id,in_reply_to_status_screen_name,lang,source,media_id,media_url,media_url_expanded,urls,urls_display,urls_expanded,mentions_screen_name,mentions_user_id,symbols,hashtags,coordinates,place_id,place_type,place_name,place_full_name,country_code,country,bounding_box_coordinates,bounding_box_type
blackwithnight,9.26E+17,3/1/2018 19:25,9.69E+17,I feel worse with every minute that passes by. fucking hell i hate this cold/flu thingy that’s going around,0,2,FALSE,NA,FALSE,NA,NA,NA,NA,en,Twitter for iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fluritiba,54365311,3/1/2018 21:29,9.69E+17,@luizasabg Avaí vem com dois ex flu... @andremoritz10 e @FMartinuccio,0,0,FALSE,NA,FALSE,NA,9.69E+17,50045830,luizasabg,pt,Twitter for Android,NA,NA,NA,NA,NA,NA,luizasabg andremoritz10 FMartinuccio,50045830 214896010 2740394949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GlennCountyOES,7.76E+17,3/1/2018 21:29,9.69E+17,"RT @CDCFlu: #Flu and the common cold are both respiratory illnesses, but they are caused by different viruses. Find out more about the diff…",46,0,FALSE,NA,TRUE,9.69E+17,NA,NA,NA,en,Twitter for Android,NA,NA,NA,NA,NA,NA,CDCFlu,16616061,NA,Flu,NA,NA,NA,NA,NA,NA,NA,NA,NA
chIucifer,792029064,3/1/2018 21:29,9.69E+17,everything started going down hill after carl died i cant breathe properly i sound like darth vader tears are rolli… https://t.co/O5e7o1obAb,0,6,FALSE,NA,FALSE,NA,NA,NA,NA,en,Twitter for Android,NA,NA,NA,NA,twitter.com/i/web/status/9…,https://twitter.com/i/web/status/969323648531263489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C_Rob60,343685991,3/1/2018 21:29,9.69E+17,Go out to my car after having the flu for 2 days someone decided to break my license plate holder off my car and ta… https://t.co/azUm144Wwf,0,1,FALSE,NA,FALSE,NA,NA,NA,NA,en,Twitter for iPhone,NA,NA,NA,NA,twitter.com/i/web/status/9…,https://twitter.com/i/web/status/969323641820385282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
emersionist,481242665,3/1/2018 21:28,9.69E+17,"@RWPUSA Just got my shingles, flu and pneumonia shots on the same day. That my arms were sore for a week meant my b… https://t.co/ZzKCnfQwg1",0,0,FALSE,NA,FALSE,NA,9.69E+17,2863996955,RWPUSA,en,Twitter for iPhone,NA,NA,NA,NA,twitter.com/i/web/status/9…,https://twitter.com/i/web/status/969323636485230592,RWPUSA,2863996955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EyleenNad,258587877,3/1/2018 21:28,9.69E+17,"@HoarseWisperer I had the flu, which sucked. Now I have bronchitis, which also sucks.",0,0,FALSE,NA,FALSE,NA,9.69E+17,7.85E+17,HoarseWisperer,en,Twitter for iPhone,NA,NA,NA,NA,NA,NA,HoarseWisperer,7.85E+17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boomer_79,3296596856,3/1/2018 21:28,9.69E+17,"RT @moecomicmom: Welp... The flu has certainly taken it's toll. I need a couple weeks to recoup, I'll see you guys when I'm able to be back…",7,0,FALSE,NA,TRUE,9.69E+17,NA,NA,NA,en,Twitter Web Client,NA,NA,NA,NA,NA,NA,moecomicmom,8.23E+17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mcguirereports,449764971,3/1/2018 21:28,9.69E+17,@bubblypaws Do you require canine flu vaccine for grooming appointments?,0,0,FALSE,NA,FALSE,NA,NA,176216375,bubblypaws,en,Twitter for iPhone,NA,NA,NA,NA,NA,NA,bubblypaws,176216375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ffcjeska,8.88E+17,3/1/2018 21:28,9.69E+17,o que eu recebi de unf de flamenguista depois desse fla Flu n é sacanagem não<f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082>,1,1,FALSE,NA,FALSE,NA,NA,NA,NA,pt,Twitter for Android,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tumblrtrashbag,1971623533,3/1/2018 21:28,9.69E+17,school is closed for the snow and i really wanted to go out sith my camera and im stuck inside with the flu <f0><U+009F><U+0098><U+00AD><f0><U+009F><U+0098><U+00AD><f0><U+009F><U+0098><U+00AD> act… https://t.co/FD4nAbi62R,0,0,FALSE,NA,FALSE,NA,NA,NA,NA,en,Twitter for iPhone,NA,NA,NA,NA,twitter.com/i/web/status/9…,https://twitter.com/i/web/status/969323558353686528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kemba722,3697993936,3/1/2018 21:28,9.69E+17,RT @Candii_Kiss3s: @ATLBlackStar It’s crazy how @CNN @FoxNews @USATODAY aren’t reporting that this is the same scientist who warned us abou…,17,0,FALSE,NA,TRUE,9.68E+17,NA,NA,NA,en,Twitter for Android,NA,NA,NA,NA,NA,NA,Candii_Kiss3s ATLBlackStar CNN FoxNews USATODAY,199489149 565521611 759251 1367531 15754281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KimHarm63,3675016697,3/1/2018 21:28,9.69E+17,"RT @JannaWilkinso69: <f0><U+009F><U+0091><U+008A><f0><U+009F><U+0091><U+008A>I know I am a Prim and Proper, REFINED Woman <f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082>but I would TRUST a FART <f0><U+009F><U+008C><U+00AC><U+FE0F><U+26FD><U+FE0F>when I HAVE the FLU <f0><U+009F><U+00A4><U+00A2><f0><U+009F><U+00A4><U+00AE>before I would EVE…",640,0,FALSE,NA,TRUE,9.52E+17,NA,NA,NA,en,Twitter for Android,NA,NA,NA,NA,NA,NA,JannaWilkinso69,8.72E+17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HellBentLolly,2847623907,3/1/2018 21:28,9.69E+17,RT @ingridnilsen: Fashion week: flu edition <f0><U+009F><U+00A4><U+0092> https://t.co/k8OchZ5441,5,0,FALSE,NA,TRUE,9.69E+17,NA,NA,NA,en,Twitter for iPhone,9.69E+17,http://pbs.twimg.com/media/DXOybATVoAAmz81.jpg,https://twitter.com/ingridnilsen/status/969314527274663936/photo/1,NA,NA,NA,ingridnilsen,87070315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nakatsu28,275397354,3/1/2018 21:28,9.69E+17,"RT @RealNaturalNews: Flu season is like Black Friday for Big Pharma: From vaccines to medication, the outbreak has business booming. https:…",16,0,FALSE,NA,TRUE,9.69E+17,NA,NA,NA,en,Twitter for iPhone,NA,NA,NA,NA,NA,NA,RealNaturalNews,2871062145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPalhegyi,2384621232,3/1/2018 21:28,9.69E+17,"RT @JannaWilkinso69: <f0><U+009F><U+0091><U+008A><f0><U+009F><U+0091><U+008A>I know I am a Prim and Proper, REFINED Woman <f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082>but I would TRUST a FART <f0><U+009F><U+008C><U+00AC><U+FE0F><U+26FD><U+FE0F>when I HAVE the FLU <f0><U+009F><U+00A4><U+00A2><f0><U+009F><U+00A4><U+00AE>before I would EVE…",640,0,FALSE,NA,TRUE,9.52E+17,NA,NA,NA,en,Twitter for Android,NA,NA,NA,NA,NA,NA,JannaWilkinso69,8.72E+17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dat_emu,1549645015,3/1/2018 21:28,9.69E+17,Both the next card in the series and a good summary of my life since catching the flu at #PCKC. #potoo #tarot… https://t.co/kj5Bnk2TF1,1,3,FALSE,NA,FALSE,NA,NA,NA,NA,en,Twitter Web Client,NA,NA,NA,NA,twitter.com/i/web/status/9…,https://twitter.com/i/web/status/969323429836017670,NA,NA,NA,PCKC potoo tarot,NA,NA,NA,NA,NA,NA,NA,NA,NA
lathargiclucy,108170113,3/1/2018 21:28,9.69E+17,RT @JODYHiGHROLLER: iF YOU ARE WAKiNG UP NOT KNOWiNG iF U CAN MAKE iT THRU THE DAY.  JUST REMEMBER THAT MiCHAEL JORDAN HAD A 123 DEGREE FEV…,8031,0,FALSE,NA,TRUE,9.50E+17,NA,NA,NA,en,Twitter for iPhone,NA,NA,NA,NA,NA,NA,JODYHiGHROLLER,29166305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fran_Neena20409,3219680120,3/1/2018 21:28,9.69E+17,RT @KSTP: Minnesota Department of Health reports one more flu death https://t.co/Ig79ulWfe3,1,0,FALSE,NA,TRUE,9.69E+17,NA,NA,NA,en,Twitter Web Client,NA,NA,NA,NA,kstp.mn/adgj8,http://kstp.mn/adgj8,KSTP,17278675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Outbreakreport,579948381,3/1/2018 21:28,9.69E+17,Worst flu season to lift US hospital operator results - Reuters https://t.co/ab6PQqfBtU,0,0,FALSE,NA,FALSE,NA,NA,NA,NA,en,dlvr.it,NA,NA,NA,NA,dlvr.it/QJMbxW,http://dlvr.it/QJMbxW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCB_FLU,7.37E+17,3/1/2018 21:28,9.69E+17,Informações sobre estacionamento: https://t.co/jNJd6FNWd4,0,1,TRUE,9.69E+17,FALSE,NA,NA,NA,NA,pt,Twitter for iPhone,NA,NA,NA,NA,twitter.com/equipefimdejog…,https://twitter.com/equipefimdejogo/status/969323121550479360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KXIITV,17505840,3/1/2018 21:27,9.69E+17,Oklahoma flu deaths at 194 this season https://t.co/5BoWDiKH4v,0,0,FALSE,NA,FALSE,NA,NA,NA,NA,en,SocialNewsDesk,NA,NA,NA,NA,kxii.com/a?a=475584383,http://kxii.com/a?a=475584383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
