"screen_name","user_id","created_at","status_id","text","retweet_count","favorite_count","is_quote_status","quote_status_id","is_retweet","retweet_status_id","in_reply_to_status_status_id","in_reply_to_status_user_id","in_reply_to_status_screen_name","lang","source","media_id","media_url","media_url_expanded","urls","urls_display","urls_expanded","mentions_screen_name","mentions_user_id","symbols","hashtags","coordinates","place_id","place_type","place_name","place_full_name","country_code","country","bounding_box_coordinates","bounding_box_type"
"JohnEJefferson","608033428",2018-03-01 23:28:10,"969353631966392320","Overstretched NHS staff forced to sleep overnight in A&amp;E as hospitals face 'PERFECT STORM' of snow, flu and norovir… https://t.co/ElFbEdIGpR",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/969353631966392320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kleber_dias11","885264403351916545",2018-03-01 23:28:06,"969353618259369984","RT @Mul4mb0: 9 fla flu sem ganhar os cara ganham 1 da nisso https://t.co/ByH3k4419t",117,0,TRUE,"969341486159581184",TRUE,"969347711203008512",NA,NA,NA,"pt","Twitter for Android",NA,NA,NA,NA,"twitter.com/fluminensefc/s…","https://twitter.com/fluminensefc/status/969341486159581184","Mul4mb0","94408147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFamiliaVota","59900070",2018-03-01 23:28:02,"969353600542609408","For nearly 300 communities in #California, water is still not safe to drink. More than half of those impacted live… https://t.co/DbUqzWnrHP",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Buffer",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/969353600542609408",NA,NA,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA
"woahhwheeler","2913343537",2018-03-01 23:28:02,"969353598004953090","i have had the flu since monday fuc",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adryel_Vini","3232865591",2018-03-01 23:27:59,"969353587884285953","RT @NETFLU: BOA TRAMA! Flu troca passes, com paciência, e jogada termina em escanteio. VAMOS DESEMPATAR!",1,0,FALSE,NA,TRUE,"969352817075945473",NA,NA,NA,"pt","Twitter for Android",NA,NA,NA,NA,NA,NA,"NETFLU","43372176",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brenopdc12","930804737322168325",2018-03-01 23:27:50,"969353550814904320","RT @Mul4mb0: 9 fla flu sem ganhar os cara ganham 1 da nisso https://t.co/ByH3k4419t",117,0,TRUE,"969341486159581184",TRUE,"969347711203008512",NA,NA,NA,"pt","Twitter for iPhone",NA,NA,NA,NA,"twitter.com/fluminensefc/s…","https://twitter.com/fluminensefc/status/969341486159581184","Mul4mb0","94408147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"beeky_chastard","327332710",2018-03-01 23:27:42,"969353516774027265","@john_neptune Nobody likes a show off.
*checks flu",0,0,FALSE,NA,FALSE,NA,"969349502531403777","19547652","john_neptune","en","Twitter for Android",NA,NA,NA,NA,NA,NA,"john_neptune","19547652",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nara_flu","956651394349617152",2018-03-01 23:27:38,"969353499325673473","RT @anttrindade: comprometimento é tudo né????

kkkkkkk
tudo q eu não tenho",16,0,FALSE,NA,TRUE,"969353104754970626",NA,NA,NA,"pt","Twitter for Android",NA,NA,NA,NA,NA,NA,"anttrindade","390434624",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lmjroozen","1708941307",2018-03-01 23:27:35,"969353487913046017","RT @tiagobotini: Flu atrasa salário e depois fica mandando indiretinha pra jogador que saiu pra clube que paga salário em dia. <f0><U+009F><U+0098><U+0082> https://t.…",3,0,TRUE,"969320708181544960",TRUE,"969351996707889153",NA,NA,NA,"pt","Twitter for Android",NA,NA,NA,NA,NA,NA,"tiagobotini","40897123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mcleod_sasha","2731905424",2018-03-01 23:27:35,"969353487686553600","RT @sams_monkey: Although my boys love the snow it makes me anxious. The last time it was icy / snow here like in this Devon was winter 201…",3,0,FALSE,NA,TRUE,"969327825579859969",NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"sams_monkey","708791049737605121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
