area,region
administrative_area_level_1,wisconsin
administrative_area_level_1.1,wisconsin
administrative_area_level_1.2,ohio
administrative_area_level_1.3,texas
administrative_area_level_1.4,pennsylvania
administrative_area_level_1.5,maryland
administrative_area_level_1.6,kansas
administrative_area_level_1.7,illinois
administrative_area_level_1.8,pennsylvania
administrative_area_level_1.9,new jersey
administrative_area_level_1.10,missouri
administrative_area_level_1.11,texas
administrative_area_level_1.12,minnesota
administrative_area_level_1.13,tennessee
administrative_area_level_1.14,oklahoma
administrative_area_level_1.15,montana
administrative_area_level_1.16,florida
administrative_area_level_1.17,colorado
administrative_area_level_1.18,kentucky
administrative_area_level_1.19,new hampshire
administrative_area_level_1.20,virginia
administrative_area_level_1.21,texas
administrative_area_level_1.22,florida
administrative_area_level_1.23,kentucky
administrative_area_level_1.24,illinois
administrative_area_level_1.25,new york
administrative_area_level_1.26,georgia
administrative_area_level_1.27,pennsylvania
administrative_area_level_1.28,texas
administrative_area_level_1.29,florida
administrative_area_level_1.30,new york
administrative_area_level_1.31,texas
administrative_area_level_1.32,tennessee
administrative_area_level_1.33,iowa
administrative_area_level_1.34,california
administrative_area_level_1.35,illinois
administrative_area_level_1.36,illinois
administrative_area_level_1.37,new york
administrative_area_level_1.38,indiana
administrative_area_level_1.39,oregon
administrative_area_level_1.40,california
administrative_area_level_1.41,florida
administrative_area_level_1.42,ohio
administrative_area_level_1.43,california
administrative_area_level_1.44,michigan
administrative_area_level_1.45,virginia
administrative_area_level_1.46,indiana
administrative_area_level_1.47,illinois
administrative_area_level_1.48,connecticut
administrative_area_level_1.49,arizona
administrative_area_level_1.50,california
administrative_area_level_1.51,texas
administrative_area_level_1.52,pennsylvania
administrative_area_level_1.53,pennsylvania
administrative_area_level_1.54,california
administrative_area_level_1.55,kentucky
administrative_area_level_1.56,massachusetts
administrative_area_level_1.57,maryland
administrative_area_level_1.58,new york
administrative_area_level_1.59,virginia
administrative_area_level_1.60,rhode island
administrative_area_level_1.61,california
administrative_area_level_1.62,alaska
administrative_area_level_1.63,california
administrative_area_level_1.64,california
administrative_area_level_1.65,california
administrative_area_level_1.66,missouri
administrative_area_level_1.67,arkansas
administrative_area_level_1.68,california
administrative_area_level_1.69,texas
administrative_area_level_1.70,colorado
administrative_area_level_1.71,california
administrative_area_level_1.72,texas
administrative_area_level_1.73,ohio
