"","lon","lat"
"1",-77.0368707,38.9071923
"2",NA,NA
"3",NA,NA
"4",-79.0192997,35.7595731
"5",-94.6235579,35.0537094
"6",NA,NA
"7",-83.9811014,34.1140497
"8",-82.9987942,39.9611755
"9",NA,NA
"10",-1.4043509,50.9097004
"11",-88.017771,44.519456
"12",-87.777356,30.8516838
"13",NA,NA
"14",-83.7430378,42.2808256
"15",-105.0732844,33.3403963
"16",0.121817,52.205337
"17",-82.7511987,34.4989981
"18",-1.3231139,51.401409
"19",NA,NA
"20",-122.4194155,37.7749295
"21",NA,NA
"22",-2.0784138,55.2082542
"23",NA,NA
"24",122.4467238,0.6999372
"25",NA,NA
"26",NA,NA
"27",NA,NA
"28",-118.2436849,34.0522342
"29",-0.4513266,51.9174803
"30",-107.4338866,32.4507852
"31",NA,NA
"32",-46.6061912,-23.662718
"33",-43.9147278,-19.8558407
"34",-2.2426305,53.4807593
"35",NA,NA
"36",-4.2026458,56.4906712
"37",-75.1652215,39.9525839
"38",-97.5052724,29.6657863
"39",-85.7584557,38.2526647
"40",NA,NA
"41",-107.4338866,32.4507852
"42",-49.2511995,-16.6896407
"43",-97.0403352,32.8998091
"44",-119.4179324,36.778261
"45",-74.0059728,40.7127753
"46",NA,NA
"47",-1.890401,52.486243
"48",-122.4194155,37.7749295
"49",-74.4056612,40.0583238
"50",12.4963655,41.9027835
"51",-111.0937311,39.3209801
"52",-2.9915726,53.4083714
"53",-118.3884078,33.8491816
"54",-73.9722265,40.7467775
"55",-71.3389183,-29.9590009
"56",NA,NA
"57",NA,NA
"58",NA,NA
"59",NA,NA
"60",NA,NA
"61",-94.658108,39.022807
"62",-40.5030961,-9.389083
"63",-94.5085299,39.144893
"64",-77.0287949,38.8983313
"65",-43.1728965,-22.9068467
"66",-3.435973,55.378051
"67",NA,NA
"68",NA,NA
"69",-83.7719846,33.8103827
"70",-87.964925,41.5992209
"71",NA,NA
"72",NA,NA
"73",NA,NA
"74",137.8480752,34.7033332
"75",-88.7878678,43.7844397
"76",-122.1817252,37.4529598
"77",NA,NA
"78",-87.6495075,41.8365443
"79",-99.9018131,31.9685988
"80",-43.1728965,-22.9068467
"81",-70.3975022,-23.6509279
"82",-70.3975022,-23.6509279
"83",-43.1728965,-22.9068467
"84",NA,NA
"85",NA,NA
"86",-99.9018131,31.9685988
"87",-52.3375886,-31.7653989
"88",-44.0947303,-22.5077597
"89",-43.1728965,-22.9068467
"90",NA,NA
"91",-41.9463785,-22.5272615
"92",-119.0187125,35.3732921
"93",-71.3161718,42.6334247
"94",-117.3961564,33.9533487
"95",-43.561549,-22.910401
"96",-74.0059728,40.7127753
"97",103.819836,1.352083
"98",NA,NA
"99",NA,NA
"100",NA,NA
"101",NA,NA
"102",-75.1652215,39.9525839
"103",-120.7401385,47.7510741
"104",-43.3022984,-22.7826972
"105",NA,NA
"106",-86.145395,39.8509529
"107",NA,NA
"108",NA,NA
"109",-84.3879824,33.7489954
"110",NA,NA
"111",-75.6971931,45.4215296
"112",-74.4056612,40.0583238
"113",-75.1652215,39.9525839
"114",NA,NA
"115",-94.658108,39.022807
"116",NA,NA
"117",NA,NA
"118",-98.4936282,29.4241219
"119",NA,NA
"120",-107.4338866,32.4507852
"121",-86.902298,32.3182314
"122",-43.1728965,-22.9068467
"123",NA,NA
"124",-90.1177559,29.9214682
"125",-1.1743197,52.3555177
"126",-84.3879824,33.7489954
"127",NA,NA
"128",-43.1728965,-22.9068467
"129",NA,NA
"130",-43.1728965,-22.9068467
"131",178.065032,-17.713371
"132",-1.8565278,52.5079138
"133",-93.2650108,44.977753
"134",-73.9638997,40.7744189
"135",NA,NA
"136",NA,NA
"137",NA,NA
"138",113.921327,-0.789275
"139",-43.1728965,-22.9068467
"140",-85.3863599,40.1933767
"141",NA,NA
"142",-118.2436849,34.0522342
"143",-0.1277583,51.5073509
"144",NA,NA
"145",-74.0059728,40.7127753
"146",101.975766,4.210484
"147",NA,NA
"148",-91.4009835,39.5853222
"149",-74.0059728,40.7127753
"150",-43.1728965,-22.9068467
"151",-89.1792621,37.4793567
"152",139.6917064,35.6894875
"153",-70.8119953,-9.0237964
"154",-44.1218397,-22.5351632
"155",NA,NA
"156",-51.92528,-14.235004
"157",NA,NA
"158",-115.1745559,36.1023715
"159",-42.3625761,-21.9802716
"160",-93.2922989,37.2089572
"161",NA,NA
"162",NA,NA
"163",-51.2300103,-30.1045849
"164",NA,NA
"165",NA,NA
"166",NA,NA
"167",175.5781673,-41.0995443
"168",NA,NA
"169",-94.6169012,38.966673
"170",-80.8431267,35.2270869
"171",-80.395107,42.969704
"172",-119.4179324,36.778261
"173",-43.1728965,-22.9068467
"174",-75.1652215,39.9525839
"175",-43.1728965,-22.9068467
"176",-84.2807329,30.4382559
"177",28.9783589,41.0082376
"178",NA,NA
"179",-1.1581086,52.9547832
"180",NA,NA
"181",37.8797209,40.986166
"182",NA,NA
"183",-74.6049061,40.7723679
"184",NA,NA
"185",-110.926479,32.2217429
"186",-73.087749,41.6032207
"187",-92.6643634,46.2791124
"188",-70.5639979,-33.4295117
"189",-122.6764815,45.5230622
"190",-106.346771,56.130366
"191",NA,NA
"192",NA,NA
"193",-75.6971931,45.4215296
"194",-97.8530686,30.5788055
"195",27.8545867,-33.0291582
"196",-79.3831843,43.653226
"197",-43.18473,-22.9332067
"198",-76.1474244,43.0481221
"199",-107.4338866,32.4507852
"200",-73.996337,40.7529454
"201",-81.5157535,27.6648274
"202",NA,NA
"203",-119.7725868,36.7468422
"204",-43.1728965,-22.9068467
"205",-51.92528,-14.235004
"206",-43.1728965,-22.9068467
"207",NA,NA
"208",NA,NA
"209",-118.015403,33.804424
"210",NA,NA
"211",NA,NA
"212",-42.5340796,-22.2887261
"213",-84.3879824,33.7489954
"214",-43.1728965,-22.9068467
"215",-116.84503,34.2611183
"216",NA,NA
"217",-43.1728965,-22.9068467
"218",-2.094278,57.149717
"219",-43.1728965,-22.9068467
"220",NA,NA
"221",NA,NA
"222",-38.4784214,-12.956351
"223",-119.4179324,36.778261
"224",-73.9727735,40.7859871
"225",-43.2358343,-22.9939022
"226",-106.4850217,31.7618778
"227",-60.6988909,11.2336911
"228",-43.1728965,-22.9068467
"229",NA,NA
"230",NA,NA
"231",NA,NA
"232",NA,NA
"233",NA,NA
"234",NA,NA
"235",NA,NA
"236",NA,NA
"237",NA,NA
"238",NA,NA
"239",NA,NA
"240",NA,NA
"241",NA,NA
"242",NA,NA
"243",NA,NA
"244",NA,NA
"245",NA,NA
"246",NA,NA
"247",NA,NA
"248",NA,NA
"249",NA,NA
"250",-63.5752387,44.6487635
"251",NA,NA
"252",-43.4685442,-22.8742263
"253",-111.3080244,45.2617806
