"","lon","lat"
"1",-93.2650108,44.977753
"2",-51.92528,-14.235004
"3",-102.4107493,34.2331373
"4",-76.6121893,39.2903848
"5",-69.3844783,45.1689375
"6",-43.1728965,-22.9068467
"7",NA,NA
"8",NA,NA
"9",-75.1652215,39.9525839
"10",-0.1277583,51.5073509
"11",-43.1728965,-22.9068467
"12",-43.1728965,-22.9068467
"13",-122.4194155,37.7749295
"14",-75.0119404,39.9152369
"15",-118.3286614,34.0928092
"16",NA,NA
"17",-0.1277583,51.5073509
"18",-4.6142139,55.495587
"19",-113.4120833,8.5902777
"20",-81.4498717,37.2232316
"21",NA,NA
"22",144.9630576,-37.8136276
"23",-86.9211946,40.4237054
"24",-6.2603097,53.3498053
"25",NA,NA
"26",-111.6946475,40.2968979
"27",-74.0059728,40.7127753
"28",NA,NA
"29",-4.1426565,50.3754565
"30",-96.7969879,32.7766642
"31",-34.8769643,-8.0475622
"32",-2.0571868,52.8792745
"33",-0.1277583,51.5073509
"34",NA,NA
"35",NA,NA
"36",-106.4850217,31.7618778
"37",NA,NA
"38",-118.9070887,34.1805403
"39",-60.6758331,2.8235098
"40",NA,NA
"41",-122.4194155,37.7749295
"42",-74.169001,40.738348
"43",-2.7974835,54.5772323
"44",NA,NA
"45",28.0473051,-26.2041028
"46",-66.4619164,46.5653163
"47",NA,NA
"48",-43.1728965,-22.9068467
"49",NA,NA
"50",NA,NA
"51",-79.3780802,43.6719799
"52",NA,NA
"53",78.4013771,17.386887
"54",-120.5542012,43.8041334
"55",106.8650395,-6.17511
"56",NA,NA
"57",NA,NA
"58",-99.9018131,31.9685988
"59",NA,NA
"60",-117.0455722,32.5388762
"61",-51.92528,-14.235004
"62",21.8568586,-29.0466808
"63",NA,NA
"64",-81.1637245,33.836081
"65",-77.6808098,43.0828668
"66",-79.6441198,43.5890452
"67",-121.8863286,37.3382082
"68",-3.7037902,40.4167754
"69",-97.5180147,35.4670524
"70",-87.6297982,41.8781136
"71",NA,NA
